{성별},{한국어},{1격 정관사 명사},{3격 정관사 명사},{4격 정관사 명사},{1격 부정관사 명사},{3격 부정관사 명사},{4격 부정관사 명사},{복수 정관사 명사},{이미지}
남성,남자,der Mann,dem Mann,den Mann,ein Mann,einem Mann,einen Mann,die Männer,images/Mann.png
여성,여자,die Frau,der Frau,die Frau,eine Frau,einer Frau,eine Frau,die Frauen,images/Frau.png
중성,아이,das Kind,dem Kind,das Kind,ein Kind,einem Kind,ein Kind,die Kinder,images/Kind.png
남성,아버지,der Vater,dem Vater,den Vater,ein Vater,einem Vater,einen Vater,die Väter,images/Vater.png
여성,어머니,die Mutter,der Mutter,die Mutter,eine Mutter,einer Mutter,eine Mutter,die Mütter,images/Mutter.png
남성,아들,der Sohn,dem Sohn,den Sohn,ein Sohn,einem Sohn,einen Sohn,die Söhne,images/Sohn.png
여성,딸,die Tochter,der Tochter,die Tochter,eine Tochter,einer Tochter,eine Tochter,die Töchter,images/Tochter.png
남성,남자형제,der Bruder,dem Bruder,den Bruder,ein Bruder,einem Bruder,einen Bruder,die Brüder,images/Bruder.png
여성,여자형제,die Schwester,der Schwester,die Schwester,eine Schwester,einer Schwester,eine Schwester,die Schwestern,images/Schwester.png
남성,할아버지,der Opa,dem Opa,den Opa,ein Opa,einem Opa,einen Opa,die Opas,images/Opa.png
여성,할머니,die Oma,der Oma,die Oma,eine Oma,einer Oma,eine Oma,die Omas,images/Oma.png
남성,친구(남),der Freund,dem Freund,den Freund,ein Freund,einem Freund,einen Freund,die Freunde,images/Freund.png
여성,친구(여),die Freundin,der Freundin,die Freundin,eine Freundin,einer Freundin,eine Freundin,die Freundinnen,images/Freundin.png
남성,이웃,der Nachbar,dem Nachbarn,den Nachbarn,ein Nachbar,einem Nachbarn,einen Nachbarn,die Nachbarn,images/Nachbar.png
여성,이웃(여),die Nachbarin,der Nachbarin,die Nachbarin,eine Nachbarin,einer Nachbarin,eine Nachbarin,die Nachbarinnen,images/Nachbarin.png
남성,손님,der Gast,dem Gast,den Gast,ein Gast,einem Gast,einen Gast,die Gäste,images/Gast.png
남성,남편,der Ehemann,dem Ehemann,den Ehemann,ein Ehemann,einem Ehemann,einen Ehemann,die Ehemänner,images/Ehemann.png
여성,아내,die Ehefrau,der Ehefrau,die Ehefrau,eine Ehefrau,einer Ehefrau,eine Ehefrau,die Ehefrauen,images/Ehefrau.png
